turn_number,my_active_hp_ratio,opp_active_hp_ratio,my_bench_count,opp_bench_count,my_prizes_left,opp_prizes_left,my_energy_in_hand,my_hand_size,action_is_ATTACK,action_is_RETREAT,action_is_ATTACH_ENERGY,action_is_PLAY_SUPPORTER,action_is_PLAY_BASIC_TO_BENCH,action_is_EVOLVE,action_is_USE_ABILITY,action_is_PASS_TURN,action_type,immediate_reward,state_value_delta,turn,game_outcome,game_id
1.0,1.0,1.0,1.0,0.0,6.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ATTACH_ENERGY,0.3,0.6999999999999997,1,opponent,0
2.0,0.7142857142857143,1.0,1.0,0.0,6.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RETREAT,-0.1,0.0,2,opponent,0
3.0,0.9,1.0,1.0,0.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,3,opponent,0
4.0,0.6,1.0,1.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,4,opponent,0
5.0,0.5,1.0,1.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,5,opponent,0
6.0,0.3,1.0,1.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PLAY_SUPPORTER,0.4,0.0,6,opponent,0
7.0,0.2,1.0,1.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PLAY_BASIC_TO_BENCH,0.2,1.9,7,opponent,0
8.0,0.1,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,8,opponent,0
9.0,0.7142857142857143,1.0,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.09999999999999964,9,opponent,0
10.0,0.7142857142857143,0.8888888888888888,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.10000000000000053,10,opponent,0
11.0,0.7142857142857143,0.7777777777777778,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PASS_TURN,0.0,0.0,11,opponent,0
12.0,0.5,0.7777777777777778,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.09999999999999964,12,opponent,0
13.0,0.5,0.6666666666666666,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATTACK,0.5,0.09999999999999964,13,opponent,0
